energy_in,avg_temp,temp_sp,temp_out,bld_hrs
9.03,18.32,22.5,1.83,0
8.03,18.28,22.5,1.83,0
9,18.24,22.5,1.89,0
7.03,18.16,22.5,1.92,0
11.99,18.34,22.5,1.85,0
17.91,18.57,22.5,1.7,0
28.04,18.46,22.5,1.55,0
34.95,17.99,22.5,1.5,0
38.08,17.81,22.5,1.55,0
36,17.76,22.5,1.68,0
36,17.71,22.5,1.63,0
36.96,17.7,22.5,1.61,0
66.98,17.56,22.5,1.57,0
77.09,17.66,22.5,1.67,0
71.97,17.87,22.5,1.76,0
61.95,18.12,22.5,1.85,0
61.05,18.32,22.5,2.09,0
59.98,18.53,22.5,2.52,0
55,18.71,22.5,3.09,1
48,18.87,22.5,3.72,1
44.96,19.07,22.5,4.25,1
45.08,19.18,22.5,4.61,1
43.92,19.35,22.5,5.18,1
42.03,19.48,22.5,5.61,1
37.96,19.51,22.5,6.18,1
39.05,19.65,22.5,6.99,1
36.96,19.73,22.5,7.86,1
43.06,19.85,22.5,8.84,1
31.97,19.93,22.5,9.38,1
34.05,20.07,22.5,10.25,1
35.97,20.11,22.5,10.71,1
32.95,20.14,22.5,11.01,1
33.01,20.23,22.5,11.16,1
31.09,20.27,22.5,11.41,1
32.95,20.26,22.5,11.84,1
32.02,20.3,22.5,12.08,1
27.97,20.31,22.5,12.69,1
25.97,20.34,22.5,12.86,1
26.08,20.35,22.5,13.23,1
28.94,20.38,22.5,13.75,1
28.05,20.47,22.5,14.41,1
30,20.49,22.5,14.12,1
17.94,20.49,22.5,13.76,1
20.03,20.54,22.5,13.86,1
22.99,20.52,22.5,13.65,1
21.99,20.58,22.5,13.54,1
25.05,20.59,22.5,13.62,1
28.92,20.66,22.5,13.93,1
27.04,20.68,22.5,13.73,1
26.94,20.67,22.5,13.41,1
28.02,20.65,22.5,13.04,1
28.03,20.59,22.5,12.64,1
32.05,20.52,22.5,12.27,1
32.92,20.49,22.5,11.97,1
30.09,20.39,22.5,11.6,0
33.93,20.32,22.5,10.99,0
36.01,20.27,22.5,10.32,0
39,20.25,22.5,10.01,0
34.03,20.2,22.5,9.75,0
34.03,20.19,22.5,9.38,0
38.97,20.14,22.5,9.1,0
39.99,20.08,22.5,8.9,0
34.02,20.13,22.5,8.62,0
34.97,20.08,22.5,8.44,0
32.04,20.05,22.5,8.21,0
38.99,20.03,22.5,7.92,0
42.04,20.07,22.5,7.71,0
35.93,20.15,22.5,7.64,0
24.99,20.18,22.5,7.57,0
11.98,20.2,22.5,7.47,0
10.98,20.1,22.5,7.16,0
12.11,19.97,22.5,7.03,0
10,19.88,22.5,6.94,0
6.9,19.83,22.5,6.72,0
8.03,19.73,22.5,6.59,0
6.06,19.64,22.5,6.51,0
6.9,19.63,22.5,6.42,0
7.03,19.58,22.5,6.33,0
8.05,19.52,22.5,6.16,0
7.03,19.42,22.5,5.99,0
